Series Name,Series Code,Country Name,Country Code,2022 [YR2022]
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Faroe Islands,FRO,11.8
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Fiji,FJI,19.131
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Finland,FIN,8.1
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Fragile and conflict affected situations,FCS,32.1287649867638
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,France,FRA,10.6
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,French Polynesia,PYF,12.55
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Gabon,GAB,26.803
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Gambia, The",GMB,32.696
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Georgia,GEO,13.099
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Germany,DEU,8.8
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Ghana,GHA,27.08
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Gibraltar,GIB,10.564
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Greece,GRC,7.3
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Greenland,GRL,13.2
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Grenada,GRD,15.616
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Guam,GUM,16.374
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Guatemala,GTM,20.861
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Guinea,GIN,33.855
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Guinea-Bissau,GNB,30.611
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Guyana,GUY,19.897
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Haiti,HTI,23.146
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Heavily indebted poor countries (HIPC),HPC,34.6234372060334
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,High income,HIC,9.39681863341609
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Honduras,HND,20.85
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Hong Kong SAR, China",HKG,4.4
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Hungary,HUN,9.3
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,IBRD only,IBD,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Iceland,ISL,11.5
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,IDA & IBRD total,IBT,17.9054178590777
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,IDA blend,IDB,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,IDA only,IDX,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,IDA total,IDA,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,India,IND,16.267
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Indonesia,IDN,16.196
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Iran, Islamic Rep.",IRN,13.242
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Iraq,IRQ,27.035
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Ireland,IRL,11.2
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Isle of Man,IMN,8.584
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Israel,ISR,19
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Italy,ITA,6.7
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Jamaica,JAM,11.531
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Japan,JPN,6.3
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Jordan,JOR,21.616
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Kazakhstan,KAZ,20.57
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Kenya,KEN,27.54
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Kiribati,KIR,26.723
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Korea, Dem. People's Rep.",PRK,13.058
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Korea, Rep.",KOR,4.9
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Kosovo,XKX,11.068
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Kuwait,KWT,9.727
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Kyrgyz Republic,KGZ,21.5
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Lao PDR,LAO,21.46
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Late-demographic dividend,LTE,8.92831936053533
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Latin America & Caribbean,LCN,14.5613822015351
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Latin America & Caribbean (excluding high income),LAC,14.6654270224209
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Latin America & the Caribbean (IDA & IBRD countries),TLA,14.7099093790257
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Latvia,LVA,8.5
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Least developed countries: UN classification,LDC,30.9643255526859
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Lebanon,LBN,14.576
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Lesotho,LSO,25.778
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Liberia,LBR,30.996
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Libya,LBY,17.298
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Liechtenstein,LIE,9.2
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Lithuania,LTU,7.8
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Low & middle income,LMY,18.2046122895169
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Low income,LIC,34.2743059108073
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Lower middle income,LMC,21.2615764440907
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Luxembourg,LUX,9.9
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Macao SAR, China",MAC,10.044
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Madagascar,MDG,30.595
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Malawi,MWI,32.611
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Malaysia,MYS,15.016
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Maldives,MDV,13.638
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Mali,MLI,41.217
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Malta,MLT,8.1
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Marshall Islands,MHL,18.524
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Mauritania,MRT,32.953
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Mauritius,MUS,9.6
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Mexico,MEX,14.636
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Micronesia, Fed. Sts.",FSM,20.684
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Middle East & North Africa,MEA,19.6970204604786
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Middle East & North Africa (excluding high income),MNA,20.4015837400515
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Middle East & North Africa (IDA & IBRD countries),TMN,20.3139107635269
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Middle income,MIC,16.2627475999912
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Moldova,MDA,12.148
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Monaco,MCO,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Mongolia,MNG,20.447
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Montenegro,MNE,11.4
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Morocco,MAR,17.161
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Mozambique,MOZ,36.121
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Myanmar,MMR,16.833
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Namibia,NAM,26.921
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Nauru,NRU,26.785
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Nepal,NPL,20.165
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Netherlands,NLD,9.5
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,New Caledonia,NCL,14.1
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,New Zealand,NZL,11.49
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Nicaragua,NIC,20.018
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Niger,NER,45.029
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Nigeria,NGA,36.611
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,North America,NAC,10.7902064568227
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,North Macedonia,MKD,9.9
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Northern Mariana Islands,MNP,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Norway,NOR,9.4
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Not classified,INX,..
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,OECD members,OED,10.2511037863167
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Oman,OMN,17.706
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Other small states,OSS,15.6005220362967
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Pacific island small states,PSS,24.3802030762189
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Pakistan,PAK,27.233
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Palau,PLW,8.8
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Panama,PAN,17.4
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Papua New Guinea,PNG,25.112
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Paraguay,PRY,20.328
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Peru,PER,17.376
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Philippines,PHL,21.618
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Poland,POL,8.3
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Portugal,PRT,8
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Post-demographic dividend,PST,9.03452577067585
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Pre-demographic dividend,PRE,35.562970764866
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Puerto Rico,PRI,5.9
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Qatar,QAT,9.091
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Romania,ROU,9.6
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Russian Federation,RUS,8.9
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Rwanda,RWA,29.474
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Samoa,WSM,26.997
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,San Marino,SMR,6.1
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Sao Tome and Principe,STP,27.974
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Saudi Arabia,SAU,16.919
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Senegal,SEN,32.067
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Serbia,SRB,9.3
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Seychelles,SYC,13.1
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Sierra Leone,SLE,30.788
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Singapore,SGP,7.9
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Sint Maarten (Dutch part),SXM,8.1
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Slovak Republic,SVK,9.7
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Slovenia,SVN,8.3
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Small states,SST,16.815237088465
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Solomon Islands,SLB,29.322
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Somalia,SOM,43.086
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,South Africa,ZAF,19.31
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,South Asia,SAS,18.1580211653728
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,South Asia (IDA & IBRD),TSA,18.1580211653728
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,South Sudan,SSD,28.857
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Spain,ESP,6.9
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Sri Lanka,LKA,13.781
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,St. Kitts and Nevis,KNA,11.823
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,St. Lucia,LCA,11.316
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,St. Martin (French part),MAF,14.414
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,St. Vincent and the Grenadines,VCT,12.726
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Sub-Saharan Africa,SSF,34.2084544673223
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Sub-Saharan Africa (excluding high income),SSA,34.2105438915881
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Sub-Saharan Africa (IDA & IBRD countries),TSS,34.2084544673223
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Sudan,SDN,33.027
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Suriname,SUR,17.983
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Sweden,SWE,10
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Switzerland,CHE,9.4
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Syrian Arab Republic,SYR,20.531
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Tajikistan,TJK,26.025
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Tanzania,TZA,35.811
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Thailand,THA,8.806
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Timor-Leste,TLS,24.611
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Togo,TGO,31.48
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Tonga,TON,22.894
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Trinidad and Tobago,TTO,11.382
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Tunisia,TUN,15.6
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Turkiye,TUR,14.468
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Turkmenistan,TKM,20.755
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Turks and Caicos Islands,TCA,12.27
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Tuvalu,TUV,23.318
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Uganda,UGA,36.215
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Ukraine,UKR,7.659
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,United Arab Emirates,ARE,9.888
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,United Kingdom,GBR,10
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,United States,USA,11
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Upper middle income,UMC,10.8767341317072
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Uruguay,URY,10.419
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Uzbekistan,UZB,26.2
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Vanuatu,VUT,28.968
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Venezuela, RB",VEN,15.573
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Viet Nam,VNM,14.689
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Virgin Islands (U.S.),VIR,11.6
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,West Bank and Gaza,PSE,27.69
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,World,WLD,16.6490741296197
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,"Yemen, Rep.",YEM,29.919
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Zambia,ZMB,34.127
"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,Zimbabwe,ZWE,30.086
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Afghanistan,AFG,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Africa Eastern and Southern,AFE,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Africa Western and Central,AFW,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Albania,ALB,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Algeria,DZA,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,American Samoa,ASM,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Andorra,AND,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Angola,AGO,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Antigua and Barbuda,ATG,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Arab World,ARB,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Argentina,ARG,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Armenia,ARM,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Aruba,ABW,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Australia,AUS,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Austria,AUT,..
